,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
0,0.0,0.2857142857142857,0.8333333333333333,0.013858204458726651,1.0,0.0,-0.8250342298800831,0.0,0.4186046511627907,0.2558139534883721,0.02577319587628866,0.046153846153846156,0.00041484624840820716,1.0,0.0,0.0,1.0,1.0,0.0,0.05660377358490565,0.0,0.0,0.0,0.0,0.0,-2.0832243070150342,0.0,0.0,0.0,0.0,0.0,-1.8310853697339375,0.0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0
1,0.0,0.25,0.16666666666666666,0.9259891544486845,1.0,0.0,2.0458046742478526,0.0,0.0,0.046511627906976744,0.015463917525773196,0.015384615384615385,1.040849237257138,1.0,0.0,0.0,0.0,1.0,0.0,0.037735849056603765,0.0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6852169811434977,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.6623828218128862,0.0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,1
2,0.0,0.0,0.8333333333333333,0.9075115485037156,1.0,0.0,-0.8250342298800831,0.0,0.8372093023255813,0.8372093023255813,0.04639175257731959,0.046153846153846156,-0.17070923122013287,1.0,0.0,0.0,0.0,1.0,0.0,0.037735849056603765,0.0,0.0,0.23076923076923078,0.0,0.0,-2.0832243070150342,0.0,0.0,0.2608695652173913,0.0,0.0,-1.8310853697339375,0.0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0
3,0.0,0.2857142857142857,0.3333333333333333,0.9781080538260695,1.0,0.0,-0.8250342298800831,0.0,0.8604651162790697,0.8372093023255813,0.02577319587628866,0.015384615384615385,-0.5266473123546985,1.0,0.0,0.0,1.0,0.0,0.0,0.05660377358490565,0.0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.5722193775451904,0.0,0.0,0.2608695652173913,0.30303030303030304,0.25,0.4312808918646442,0.0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1
4,0.2,0.6785714285714285,0.16666666666666666,0.8014661578630247,0.0,0.0,-2.48709885858573,0.0,0.8372093023255813,0.8604651162790697,0.04639175257731959,0.046153846153846156,0.9723996062697218,0.0,0.0,0.0,1.0,0.0,0.0,0.5283018867924527,0.0,0.0,0.23076923076923078,0.2,0.19230769230769232,0.3556406373151012,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.5407502271032851,0.0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,1
5,0.2,0.6785714285714285,0.16666666666666666,0.9999999999999999,0.0,0.4285714285714285,0.013552923694129249,0.0,0.8372093023255813,0.8372093023255813,0.04639175257731959,0.035897435897435895,-0.8552055410942973,0.0,0.0,1.0,1.0,1.0,0.0,0.6226415094339623,0.0,0.0,0.19230769230769232,0.22222222222222224,0.19230769230769232,0.26147596764984504,0.0,0.0,0.21739130434782608,0.5151515151515151,0.25,0.2670768890066825,0.41666666666666663,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1
6,0.0,0.0,0.16666666666666666,0.9506929102229363,1.0,0.0,0.6859336143977778,0.0,0.4186046511627907,0.8604651162790697,0.03608247422680412,0.05128205128205128,0.07570944033456686,1.0,0.0,0.0,1.0,0.0,1.0,0.018867924528301883,0.0,0.0,0.2692307692307693,0.2,0.2692307692307693,0.5467949167355713,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.7861439869299056,0.0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1
7,0.0,0.30357142857142855,0.6666666666666666,0.9259891544486845,1.0,0.0,-1.0516794065217623,0.0,0.8372093023255813,0.8372093023255813,0.04639175257731959,0.046153846153846156,-0.9715699137729054,1.0,0.0,0.0,0.0,1.0,0.0,0.09433962264150941,0.0,0.0,0.19230769230769232,0.11111111111111112,0.0,-2.0832243070150342,0.0,0.0,0.21739130434782608,0.15151515151515152,0.0,-1.8310853697339375,0.0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0
8,0.0,0.0,0.5,0.9243824061056437,1.0,0.0,0.30819165332831255,0.5648148148148148,0.0,0.0,0.04639175257731959,0.046153846153846156,0.13731410822324205,0.0,0.0,0.0,1.0,0.0,1.0,0.07547169811320753,1.0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.660498755356368,0.0,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.7492632466054585,0.0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1
9,0.0,0.0,0.16666666666666666,0.9243824061056437,1.0,0.0,0.3837400455422056,0.0,0.0,0.4186046511627907,0.020618556701030927,0.035897435897435895,-0.29391856699748226,1.0,0.0,1.0,0.0,0.0,0.0,0.018867924528301883,0.0,0.0,0.23076923076923078,0.2,0.19230769230769232,0.17107788477119906,0.0,0.0,0.2608695652173913,0.42424242424242425,0.1,0.631974673135486,0.0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0
